Name:Bulbasaur, Type:Grass/Poison
Name:Umbreon, Type:Dark
Name:Murkrow, Type:Dark/Flying
Name:Slowking, Type:Water/Psychic
Name:Misdreavus, Type:Ghost
Name:Unown, Type:Psychic
Name:Wobbuffet, Type:Psychic
Name:Girafarig, Type:Normal/Psychic
Name:Pineco, Type:Bug
Name:Forretress, Type:Bug/Steel
Name:Dunsparce, Type:Normal
Name:Gligar, Type:Ground/Flying
Name:Steelix, Type:Steel/Ground
Name:Snubbull, Type:Fairy
Name:Granbull, Type:Fairy
Name:Qwilfish, Type:Water/Poison
Name:Scizor, Type:Bug/Steel
Name:Shuckle, Type:Bug/Rock
Name:Heracross, Type:Bug/Fighting
Name:Sneasel, Type:Dark/Ice
Name:Teddiursa, Type:Normal
Name:Ursaring, Type:Normal
Name:Slugma, Type:Fire
Name:Magcargo, Type:Fire/Rock
Name:Swinub, Type:Ice/Ground
Name:Piloswine, Type:Ice/Ground
Name:Corsola, Type:Water/Rock
Name:Remoraid, Type:Water
Name:Octillery, Type:Water
Name:Delibird, Type:Ice/Flying
Name:Mantine, Type:Water/Flying
Name:Skarmory, Type:Steel/Flying
Name:Houndour, Type:Dark/Fire
Name:Houndoom, Type:Dark/Fire
Name:Kingdra, Type:Water/Dragon
Name:Phanpy, Type:Ground
Name:Donphan, Type:Ground
Name:Porygon2, Type:Normal
Name:Stantler, Type:Normal
Name:Smeargle, Type:Normal
Name:Tyrogue, Type:Fighting
Name:Hitmontop, Type:Fighting
Name:Smoochum, Type:Ice/Psychic
Name:Elekid, Type:Electric
Name:Magby, Type:Fire
Name:Miltank, Type:Normal
Name:Blissey, Type:Normal
Name:Raikou, Type:Electric
Name:Entei, Type:Fire
Name:Suicune, Type:Water
Name:Larvitar, Type:Rock/Ground
Name:Pupitar, Type:Rock/Ground
Name:Tyranitar, Type:Rock/Dark
Name:Lugia, Type:Psychic/Flying
Name:Ho-oh, Type:Fire/Flying
Name:Celebi, Type:Psychic/Grass
Name:Treecko, Type:Grass
Name:Grovyle, Type:Grass
Name:Sceptile, Type:Grass
Name:Torchic, Type:Fire
Name:Combusken, Type:Fire/Fighting
Name:Blaziken, Type:Fire/Fighting
Name:Mudkip, Type:Water
Name:Marshtomp, Type:Water/Ground
Name:Swampert, Type:Water/Ground
Name:Poochyena, Type:Dark
Name:Mightyena, Type:Dark
Name:Zigzagoon, Type:Normal
Name:Linoone, Type:Normal
Name:Wurmple, Type:Bug
Name:Silcoon, Type:Bug
Name:Beautifly, Type:Bug/Flying
Name:Cascoon, Type:Bug
Name:Dustox, Type:Bug/Poison
Name:Lotad, Type:Water/Grass
Name:Lombre, Type:Water/Grass
Name:Ludicolo, Type:Water/Grass
Name:Seedot, Type:Grass
Name:Nuzleaf, Type:Grass/Dark
Name:Shiftry, Type:Grass/Dark
Name:Taillow, Type:Normal/Flying
Name:Swellow, Type:Normal/Flying
Name:Wingull, Type:Water/Flying
Name:Pelipper, Type:Water/Flying
Name:Ralts, Type:Psychic/Fairy
Name:Kirlia, Type:Psychic/Fairy
Name:Gardevoir, Type:Psychic/Fairy
Name:Surskit, Type:Bug/Water
Name:Masquerain, Type:Bug/Flying
Name:Shroomish, Type:Grass
Name:Breloom, Type:Grass/Fighting
Name:Slakoth, Type:Normal
Name:Vigoroth, Type:Normal
Name:Slaking, Type:Normal
Name:Nincada, Type:Bug/Ground
Name:Ninjask, Type:Bug/Flying
Name:Shedinja, Type:Bug/Ghost
Name:Whismur, Type:Normal
Name:Loudred, Type:Normal
Name:Exploud, Type:Normal
Name:Makuhita, Type:Fighting
Name:Hariyama, Type:Fighting
Name:Azurill, Type:Normal/Fairy
Name:Nosepass, Type:Rock
Name:Skitty, Type:Normal
Name:Delcatty, Type:Normal
Name:Sableye, Type:Dark/Ghost
Name:Mawile, Type:Steel/Fairy
Name:Aron, Type:Steel/Rock
Name:Lairon, Type:Steel/Rock
Name:Aggron, Type:Steel/Rock
Name:Meditite, Type:Fighting/Psychic
Name:Medicham, Type:Fighting/Psychic
Name:Electrike, Type:Electric
Name:Manectric, Type:Electric
Name:Plusle, Type:Electric
Name:Minun, Type:Electric
Name:Volbeat, Type:Bug
Name:Illumise, Type:Bug
Name:Roselia, Type:Grass/Poison
Name:Gulpin, Type:Poison
Name:Swalot, Type:Poison
Name:Carvanha, Type:Water/Dark
Name:Sharpedo, Type:Water/Dark
Name:Wailmer, Type:Water
Name:Wailord, Type:Water
Name:Numel, Type:Fire/Ground
Name:Camerupt, Type:Fire/Ground
Name:Torkoal, Type:Fire
Name:Spoink, Type:Psychic
Name:Grumpig, Type:Psychic
Name:Spinda, Type:Normal
Name:Trapinch, Type:Ground
Name:Vibrava, Type:Ground/Dragon
Name:Flygon, Type:Ground/Dragon
Name:Cacnea, Type:Grass
Name:Cacturne, Type:Grass/Dark
Name:Swablu, Type:Normal/Flying
Name:Altaria, Type:Dragon/Flying
Name:Zangoose, Type:Normal
Name:Seviper, Type:Poison
Name:Lunatone, Type:Rock/Psychic
Name:Solrock, Type:Rock/Psychic
Name:Barboach, Type:Water/Ground
Name:Whiscash, Type:Water/Ground
Name:Corphish, Type:Water
Name:Crawdaunt, Type:Water/Dark
Name:Baltoy, Type:Ground/Psychic
Name:Claydol, Type:Ground/Psychic
Name:Lileep, Type:Rock/Grass
Name:Cradily, Type:Rock/Grass
Name:Anorith, Type:Rock/Bug
Name:Armaldo, Type:Rock/Bug
Name:Feebas, Type:Water
Name:Milotic, Type:Water
Name:Castform, Type:Normal
Name:Kecleon, Type:Normal
Name:Shuppet, Type:Ghost
Name:Banette, Type:Ghost
Name:Duskull, Type:Ghost
Name:Dusclops, Type:Ghost
Name:Tropius, Type:Grass/Flying
Name:Chimecho, Type:Psychic
Name:Absol, Type:Dark
Name:Wynaut, Type:Psychic
Name:Snorunt, Type:Ice
Name:Glalie, Type:Ice
Name:Spheal, Type:Ice/Water
Name:Sealeo, Type:Ice/Water
Name:Walrein, Type:Ice/Water
Name:Clamperl, Type:Water
Name:Huntail, Type:Water
Name:Gorebyss, Type:Water
Name:Relicanth, Type:Water/Rock
Name:Luvdisc, Type:Water
Name:Bagon, Type:Dragon
Name:Shelgon, Type:Dragon
Name:Salamence, Type:Dragon/Flying
Name:Beldum, Type:Steel/Psychic
Name:Metang, Type:Steel/Psychic
Name:Metagross, Type:Steel/Psychic
Name:Regirock, Type:Rock
Name:Regice, Type:Ice
Name:Registeel, Type:Steel
Name:Latias, Type:Dragon/Psychic
Name:Latios, Type:Dragon/Psychic
Name:Kyogre, Type:Water
Name:Groudon, Type:Ground
Name:Rayquaza, Type:Dragon/Flying
Name:Jirachi, Type:Steel/Psychic
Name:Deoxys, Type:Psychic
Name:Turtwig, Type:Grass
Name:Grotle, Type:Grass
Name:Torterra, Type:Grass/Ground
Name:Chimchar, Type:Fire
Name:Monferno, Type:Fire/Fighting
Name:Infernape, Type:Fire/Fighting
Name:Piplup, Type:Water
Name:Prinplup, Type:Water
Name:Empoleon, Type:Water/Steel
Name:Starly, Type:Normal/Flying
Name:Staravia, Type:Normal/Flying
Name:Staraptor, Type:Normal/Flying
Name:Bidoof, Type:Normal
Name:Bibarel, Type:Normal/Water
Name:Kricketot, Type:Bug
Name:Kricketune, Type:Bug
Name:Shinx, Type:Electric
Name:Luxio, Type:Electric
Name:Luxray, Type:Electric
Name:Budew, Type:Grass/Poison
Name:Roserade, Type:Grass/Poison
Name:Cranidos, Type:Rock
Name:Rampardos, Type:Rock
Name:Shieldon, Type:Rock/Steel
Name:Bastiodon, Type:Rock/Steel
Name:Burmy, Type:Bug
Name:Wormadam, Type:Bug/Grass
Name:Mothim, Type:Bug/Flying
Name:Combee, Type:Bug/Flying
Name:Vespiquen, Type:Bug/Flying
Name:Pachirisu, Type:Electric
Name:Buizel, Type:Water
Name:Floatzel, Type:Water
Name:Cherubi, Type:Grass
Name:Cherrim, Type:Grass
Name:Shellos, Type:Water
Name:Gastrodon, Type:Water/Ground
Name:Ambipom, Type:Normal
Name:Drifloon, Type:Ghost/Flying
Name:Drifblim, Type:Ghost/Flying
Name:Buneary, Type:Normal
Name:Lopunny, Type:Normal
Name:Mismagius, Type:Ghost
Name:Honchkrow, Type:Dark/Flying
Name:Glameow, Type:Normal
Name:Purugly, Type:Normal
Name:Chingling, Type:Psychic
Name:Stunky, Type:Poison/Dark
Name:Skuntank, Type:Poison/Dark
Name:Bronzor, Type:Steel/Psychic
Name:Bronzong, Type:Steel/Psychic
Name:Bonsly, Type:Rock
Name:Mime Jr., Type:Psychic/Fairy
Name:Happiny, Type:Normal
Name:Chatot, Type:Normal/Flying
Name:Spiritomb, Type:Ghost/Dark
Name:Gible, Type:Dragon/Ground
Name:Gabite, Type:Dragon/Ground
Name:Garchomp, Type:Dragon/Ground
Name:Munchlax, Type:Normal
Name:Riolu, Type:Fighting
Name:Lucario, Type:Fighting/Steel
Name:Hippopotas, Type:Ground
Name:Hippowdon, Type:Ground
Name:Skorupi, Type:Poison/Bug
Name:Drapion, Type:Poison/Dark
Name:Croagunk, Type:Poison/Fighting
Name:Toxicroak, Type:Poison/Fighting
Name:Carnivine, Type:Grass
Name:Finneon, Type:Water
Name:Lumineon, Type:Water
Name:Mantyke, Type:Water/Flying
Name:Snover, Type:Grass/Ice
Name:Abomasnow, Type:Grass/Ice
Name:Weavile, Type:Dark/Ice
Name:Magnezone, Type:Electric/Steel
Name:Lickilicky, Type:Normal
Name:Rhyperior, Type:Ground/Rock
Name:Tangrowth, Type:Grass
Name:Electivire, Type:Electric
Name:Magmortar, Type:Fire
Name:Togekiss, Type:Fairy/Flying
Name:Yanmega, Type:Bug/Flying
Name:Leafeon, Type:Grass
Name:Glaceon, Type:Ice
Name:Gliscor, Type:Ground/Flying
Name:Mamoswine, Type:Ice/Ground
Name:Porygon-Z, Type:Normal
Name:Gallade, Type:Psychic/Fighting
Name:Probopass, Type:Rock/Steel
Name:Dusknoir, Type:Ghost
Name:Froslass, Type:Ice/Ghost
Name:Rotom, Type:Electric/Ghost
Name:Uxie, Type:Psychic
Name:Mesprit, Type:Psychic
Name:Azelf, Type:Psychic
Name:Dialga, Type:Steel/Dragon
Name:Palkia, Type:Water/Dragon
Name:Heatran, Type:Fire/Steel
Name:Regigigas, Type:Normal
Name:Giratina, Type:Ghost/Dragon
Name:Cresselia, Type:Psychic
Name:Phione, Type:Water
Name:Manaphy, Type:Water
Name:Darkrai, Type:Dark
Name:Shaymin, Type:Grass
Name:Arceus, Type:Normal
Name:Victini, Type:Psychic/Fire
Name:Snivy, Type:Grass
Name:Servine, Type:Grass
Name:Serperior, Type:Grass
Name:Tepig, Type:Fire
Name:Pignite, Type:Fire/Fighting
Name:Emboar, Type:Fire/Fighting
Name:Oshawott, Type:Water
Name:Dewott, Type:Water
Name:Samurott, Type:Water
Name:Patrat, Type:Normal
Name:Watchog, Type:Normal
Name:Lillipup, Type:Normal
Name:Herdier, Type:Normal
Name:Stoutland, Type:Normal
Name:Purrloin, Type:Dark
Name:Liepard, Type:Dark
Name:Pansage, Type:Grass
Name:Simisage, Type:Grass
Name:Pansear, Type:Fire
Name:Simisear, Type:Fire
Name:Panpour, Type:Water
Name:Simipour, Type:Water
Name:Munna, Type:Psychic
Name:Musharna, Type:Psychic
Name:Pidove, Type:Normal/Flying
Name:Tranquill, Type:Normal/Flying
Name:Unfezant, Type:Normal/Flying
Name:Blitzle, Type:Electric
Name:Zebstrika, Type:Electric
Name:Roggenrola, Type:Rock
Name:Boldore, Type:Rock
Name:Gigalith, Type:Rock
Name:Woobat, Type:Psychic/Flying
Name:Swoobat, Type:Psychic/Flying
Name:Drilbur, Type:Ground
Name:Excadrill, Type:Ground/Steel
Name:Audino, Type:Normal
Name:Timburr, Type:Fighting
Name:Gurdurr, Type:Fighting
Name:Conkeldurr, Type:Fighting
Name:Tympole, Type:Water
Name:Palpitoad, Type:Water/Ground
Name:Seismitoad, Type:Water/Ground
Name:Throh, Type:Fighting
Name:Sawk, Type:Fighting
Name:Sewaddle, Type:Bug/Grass
Name:Swadloon, Type:Bug/Grass
Name:Leavanny, Type:Bug/Grass
Name:Venipede, Type:Bug/Poison
Name:Whirlipede, Type:Bug/Poison
Name:Scolipede, Type:Bug/Poison
Name:Cottonee, Type:Grass/Fairy
Name:Whimsicott, Type:Grass/Fairy
Name:Petilil, Type:Grass
Name:Lilligant, Type:Grass
Name:Basculin, Type:Water
Name:Sandile, Type:Ground/Dark
Name:Krokorok, Type:Ground/Dark
Name:Krookodile, Type:Ground/Dark
Name:Darumaka, Type:Fire
Name:Darmanitan, Type:Fire
Name:Maractus, Type:Grass
Name:Dwebble, Type:Bug/Rock
Name:Crustle, Type:Bug/Rock
Name:Scraggy, Type:Dark/Fighting
Name:Scrafty, Type:Dark/Fighting
Name:Sigilyph, Type:Psychic/Flying
Name:Yamask, Type:Ghost
Name:Cofagrigus, Type:Ghost
Name:Tirtouga, Type:Water/Rock
Name:Carracosta, Type:Water/Rock
Name:Archen, Type:Rock/Flying
Name:Archeops, Type:Rock/Flying
Name:Trubbish, Type:Poison
Name:Garbodor, Type:Poison
Name:Zorua, Type:Dark
Name:Zoroark, Type:Dark
Name:Minccino, Type:Normal
Name:Cinccino, Type:Normal
Name:Gothita, Type:Psychic
Name:Gothorita, Type:Psychic
Name:Gothitelle, Type:Psychic
Name:Solosis, Type:Psychic
Name:Duosion, Type:Psychic
Name:Reuniclus, Type:Psychic
Name:Ducklett, Type:Water/Flying
Name:Swanna, Type:Water/Flying
Name:Vanillite, Type:Ice
Name:Vanillish, Type:Ice
Name:Vanilluxe, Type:Ice
Name:Deerling, Type:Normal/Grass
Name:Sawsbuck, Type:Normal/Grass
Name:Emolga, Type:Electric/Flying
Name:Karrablast, Type:Bug
Name:Escavalier, Type:Bug/Steel
Name:Foongus, Type:Grass/Poison
Name:Amoonguss, Type:Grass/Poison
Name:Frillish, Type:Water/Ghost
Name:Jellicent, Type:Water/Ghost
Name:Alomomola, Type:Water
Name:Joltik, Type:Bug/Electric
Name:Galvantula, Type:Bug/Electric
Name:Ferroseed, Type:Grass/Steel
Name:Ferrothorn, Type:Grass/Steel
Name:Klink, Type:Steel
Name:Klang, Type:Steel
Name:Klinklang, Type:Steel
Name:Tynamo, Type:Electric
Name:Eelektrik, Type:Electric
Name:Eelektross, Type:Electric
Name:Elgyem, Type:Psychic
Name:Beheeyem, Type:Psychic
Name:Litwick, Type:Ghost/Fire
Name:Lampent, Type:Ghost/Fire
Name:Chandelure, Type:Ghost/Fire
Name:Axew, Type:Dragon
Name:Fraxure, Type:Dragon
Name:Haxorus, Type:Dragon
Name:Cubchoo, Type:Ice
Name:Beartic, Type:Ice
Name:Cryogonal, Type:Ice
Name:Shelmet, Type:Bug
Name:Accelgor, Type:Bug
Name:Stunfisk, Type:Ground/Electric
Name:Mienfoo, Type:Fighting
Name:Mienshao, Type:Fighting
Name:Druddigon, Type:Dragon
Name:Golett, Type:Ground/Ghost
Name:Golurk, Type:Ground/Ghost
Name:Pawniard, Type:Dark/Steel
Name:Bisharp, Type:Dark/Steel
Name:Bouffalant, Type:Normal
Name:Rufflet, Type:Normal/Flying
Name:Braviary, Type:Normal/Flying
Name:Vullaby, Type:Dark/Flying
Name:Mandibuzz, Type:Dark/Flying
Name:Heatmor, Type:Fire
Name:Durant, Type:Bug/Steel
Name:Deino, Type:Dark/Dragon
Name:Zweilous, Type:Dark/Dragon
Name:Hydreigon, Type:Dark/Dragon
Name:Larvesta, Type:Bug/Fire
Name:Volcarona, Type:Bug/Fire
Name:Cobalion, Type:Steel/Fighting
Name:Terrakion, Type:Rock/Fighting
Name:Virizion, Type:Grass/Fighting
Name:Tornadus, Type:Flying
Name:Thundurus, Type:Electric/Flying
Name:Reshiram, Type:Dragon/Fire
Name:Zekrom, Type:Dragon/Electric
Name:Landorus, Type:Ground/Flying
Name:Kyurem, Type:Dragon/Ice
Name:Keldeo, Type:Water/Fighting
Name:Meloetta, Type:Normal/Psychic
Name:Genesect, Type:Bug/Steel
Name:Chespin, Type:Grass
Name:Quilladin, Type:Grass
Name:Chesnaught, Type:Grass/Fighting
Name:Fennekin, Type:Fire
Name:Braixen, Type:Fire
Name:Delphox, Type:Fire/Psychic
Name:Froakie, Type:Water
Name:Frogadier, Type:Water
Name:Greninja, Type:Water/Dark
Name:Bunnelby, Type:Normal
Name:Diggersby, Type:Normal/Ground
Name:Fletchling, Type:Normal/Flying
Name:Fletchinder, Type:Fire/Flying
Name:Talonflame, Type:Fire/Flying
Name:Scatterbug, Type:Bug
Name:Spewpa, Type:Bug
Name:Vivillon, Type:Bug/Flying
Name:Litleo, Type:Fire/Normal
Name:Pyroar, Type:Fire/Normal
Name:Flabébé, Type:Fairy
Name:Floette, Type:Fairy
Name:Florges, Type:Fairy
Name:Skiddo, Type:Grass
Name:Gogoat, Type:Grass
Name:Pancham, Type:Fighting
Name:Pangoro, Type:Fighting/Dark
Name:Furfrou, Type:Normal
Name:Espurr, Type:Psychic
Name:Meowstic, Type:Psychic
Name:Honedge, Type:Steel/Ghost
Name:Doublade, Type:Steel/Ghost
Name:Aegislash, Type:Steel/Ghost
Name:Spritzee, Type:Fairy
Name:Aromatisse, Type:Fairy
Name:Swirlix, Type:Fairy
Name:Slurpuff, Type:Fairy
Name:Inkay, Type:Dark/Psychic
Name:Malamar, Type:Dark/Psychic
Name:Binacle, Type:Rock/Water
Name:Barbaracle, Type:Rock/Water
Name:Skrelp, Type:Poison/Water
Name:Dragalge, Type:Poison/Dragon
Name:Clauncher, Type:Water
Name:Clawitzer, Type:Water
Name:Helioptile, Type:Electric/Normal
Name:Heliolisk, Type:Electric/Normal
Name:Tyrunt, Type:Rock/Dragon
Name:Tyrantrum, Type:Rock/Dragon
Name:Amaura, Type:Rock/Ice
Name:Aurorus, Type:Rock/Ice
Name:Sylveon, Type:Fairy
Name:Hawlucha, Type:Fighting/Flying
Name:Dedenne, Type:Electric/Fairy
Name:Carbink, Type:Rock/Fairy
Name:Goomy, Type:Dragon
Name:Sliggoo, Type:Dragon
Name:Goodra, Type:Dragon
Name:Klefki, Type:Steel/Fairy
Name:Phantump, Type:Ghost/Grass
Name:Trevenant, Type:Ghost/Grass
Name:Pumpkaboo, Type:Ghost/Grass
Name:Gourgeist, Type:Ghost/Grass
Name:Bergmite, Type:Ice
Name:Avalugg, Type:Ice
Name:Noibat, Type:Flying/Dragon
Name:Noivern, Type:Flying/Dragon
Name:Xerneas, Type:Fairy
Name:Yveltal, Type:Dark/Flying
Name:Zygarde, Type:Dragon/Ground
Name:Diancie, Type:Rock/Fairy
Name:Hoopa, Type:Psychic/Ghost
Name:Volcanion, Type:Fire/Water
Name:Rowlet, Type:Grass/Flying
Name:Dartrix, Type:Grass/Flying
Name:Decidueye, Type:Grass/Ghost
Name:Litten, Type:Fire
Name:Torracat, Type:Fire
Name:Incineroar, Type:Fire/Dark
Name:Popplio, Type:Water
Name:Brionne, Type:Water
Name:Primarina, Type:Water/Fairy
Name:Pikipek, Type:Normal/Flying
Name:Trumbeak, Type:Normal/Flying
Name:Toucannon, Type:Normal/Flying
Name:Yungoos, Type:Normal
Name:Gumshoos, Type:Normal
Name:Grubbin, Type:Bug
Name:Charjabug, Type:Bug/Electric
Name:Vikavolt, Type:Bug/Electric
Name:Crabrawler, Type:Fighting
Name:Crabominable, Type:Fighting/Ice
Name:Oricorio, Type:Fire/Flying
Name:Cutiefly, Type:Bug/Fairy
Name:Ribombee, Type:Bug/Fairy
Name:Rockruff, Type:Rock
Name:Lycanroc, Type:Rock
Name:Wishiwashi, Type:Water
Name:Mareanie, Type:Poison/Water
Name:Toxapex, Type:Poison/Water
Name:Mudbray, Type:Ground
Name:Mudsdale, Type:Ground
Name:Dewpider, Type:Water/Bug
Name:Araquanid, Type:Water/Bug
Name:Fomantis, Type:Grass
Name:Lurantis, Type:Grass
Name:Morelull, Type:Grass/Fairy
Name:Shiinotic, Type:Grass/Fairy
Name:Salandit, Type:Poison/Fire
Name:Salazzle, Type:Poison/Fire
Name:Stufful, Type:Normal/Fighting
Name:Bewear, Type:Normal/Fighting
Name:Bounsweet, Type:Grass
Name:Steenee, Type:Grass
Name:Tsareena, Type:Grass
Name:Comfey, Type:Fairy
Name:Oranguru, Type:Normal/Psychic
Name:Passimian, Type:Fighting
Name:Wimpod, Type:Bug/Water
Name:Golisopod, Type:Bug/Water
Name:Sandygast, Type:Ghost/Ground
Name:Palossand, Type:Ghost/Ground
Name:Pyukumuku, Type:Water
Name:Type: Null, Type:Normal
Name:Silvally, Type:Normal
Name:Minior, Type:Rock/Flying
Name:Komala, Type:Normal
Name:Turtonator, Type:Fire/Dragon
Name:Togedemaru, Type:Electric/Steel
Name:Mimikyu, Type:Ghost/Fairy
Name:Bruxish, Type:Water/Psychic
Name:Drampa, Type:Normal/Dragon
Name:Dhelmise, Type:Ghost/Grass
Name:Jangmo-o, Type:Dragon
Name:Hakamo-o, Type:Dragon/Fighting
